plant,customer,distance,locations
plant_4,customer_88,260.84,"[-96.375459, 33.061658]"
plant_4,customer_90,511.79,"[-87.599853, 36.929183]"
plant_4,customer_92,486.7,"[-88.057566, 36.699237]"
plant_4,customer_97,168.43,"[-94.150853, 34.162888]"
plant_4,customer_100,301.6,"[-88.143854, 32.701764]"
plant_4,customer_101,526.49,"[-85.26517, 34.427289]"
plant_4,customer_103,686.13,"[-83.637411, 36.183039]"
plant_4,customer_106,1094.38,"[-88.965577, 45.709573]"
plant_4,customer_107,815.79,"[-81.644252, 36.618928]"
plant_4,customer_108,851.61,"[-82.728105, 37.998574]"
plant_4,customer_111,144.57,"[-92.679021, 34.281537]"
plant_4,customer_117,428.49,"[-89.209225, 36.494944]"
plant_4,customer_124,22.77,"[-93.073687, 32.774364]"
plant_4,customer_127,933.11,"[-80.419321, 37.7234]"
plant_4,customer_128,862.74,"[-81.066481, 37.150221]"
plant_4,customer_135,1039.77,"[-83.2732, 42.551081]"
plant_4,customer_139,51.22,"[-93.023093, 32.203119]"
plant_4,customer_142,767.09,"[-82.429427, 35.618511]"
plant_4,customer_144,289.83,"[-89.755509, 33.914063]"
plant_4,customer_146,67.74,"[-93.274745, 33.41125]"
plant_4,customer_147,69.46,"[-92.446974, 32.058432]"
plant_4,customer_148,618.92,"[-102.498932, 32.405262]"
plant_4,customer_149,48.15,"[-93.264086, 33.107796]"
plant_4,customer_150,262.53,"[-90.988379, 35.527373]"
plant_4,customer_151,391.49,"[-89.747728, 36.481716]"
plant_4,customer_154,531.46,"[-100.989135, 32.789566]"
plant_4,customer_159,305.07,"[-93.967264, 35.63687]"
plant_4,customer_161,192.49,"[-94.192765, 34.322428]"
plant_4,customer_162,304.27,"[-88.894124, 33.520435]"
plant_4,customer_164,484.29,"[-85.719681, 33.88894]"
plant_4,customer_166,1120.74,"[-77.623197, 39.343855]"
plant_4,customer_169,467.78,"[-87.025061, 34.36266]"
plant_4,customer_172,483.37,"[-87.28252, 35.039849]"
plant_4,customer_173,666.58,"[-102.731391, 33.068569]"
plant_4,customer_176,864.02,"[-82.222238, 37.85643]"
plant_4,customer_177,369.67,"[-98.333462, 33.334719]"
plant_4,customer_178,568.35,"[-86.492109, 36.919549]"
plant_4,customer_179,450.94,"[-86.2689, 32.778382]"
plant_4,customer_180,419.59,"[-88.955489, 36.180572]"
plant_4,customer_183,588.29,"[-101.556273, 33.621196]"
plant_4,customer_185,112.31,"[-94.201025, 32.425089]"
plant_4,customer_191,293.55,"[-97.050624, 32.339706]"
plant_4,customer_193,325.58,"[-87.850058, 32.914681]"
plant_4,customer_194,428.39,"[-88.478646, 36.248479]"
plant_4,customer_195,1112.91,"[-79.467811, 40.371319]"
plant_4,customer_196,406.37,"[-88.931807, 36.035077]"
plant_4,customer_202,467.25,"[-99.164474, 34.392414]"
plant_4,customer_206,206.8,"[-95.552292, 32.872611]"
plant_4,customer_207,101.62,"[-91.562084, 32.825533]"
plant_4,customer_211,583.54,"[-101.658174, 32.624494]"
plant_4,customer_216,1058.2,"[-80.622259, 40.646771]"
plant_4,customer_217,458.06,"[-99.905346, 32.622764]"
plant_4,customer_218,203.37,"[-90.235788, 33.466932]"
plant_4,customer_220,706.61,"[-103.506459, 33.512406]"
plant_4,customer_221,253.08,"[-89.19509, 32.136275]"
plant_4,customer_223,195.04,"[-90.262907, 32.765704]"
plant_4,customer_227,304.55,"[-89.766549, 34.070688]"
plant_4,customer_231,1073.68,"[-78.252587, 39.035022]"
plant_4,customer_235,315.33,"[-97.523495, 32.917792]"
plant_4,customer_241,95.74,"[-91.797593, 32.182866]"
plant_4,customer_246,313.68,"[-88.609779, 33.324347]"
plant_4,customer_247,1093.3,"[-79.714641, 40.14654]"
plant_4,customer_248,157.62,"[-94.719732, 32.824375]"
plant_5,customer_1,160.12,"[-97.400281, 33.119504]"
plant_5,customer_2,410.51,"[-104.146281, 34.045009]"
plant_5,customer_4,830.5,"[-86.024723, 33.64755]"
plant_5,customer_5,491.68,"[-104.642711, 32.647087]"
plant_5,customer_10,1111.2,"[-81.36037, 36.622746]"
plant_5,customer_14,101.91,"[-98.399894, 33.51573]"
plant_5,customer_15,1388.22,"[-77.695401, 38.979039]"
plant_5,customer_21,369.85,"[-94.272464, 33.879494]"
plant_5,customer_24,1084.05,"[-85.393407, 43.555699]"
plant_5,customer_26,657.21,"[-88.470236, 35.887553]"
plant_5,customer_27,892.9,"[-85.306892, 34.05084]"
plant_5,customer_28,933.13,"[-84.385289, 36.603522]"
plant_5,customer_31,559.98,"[-91.070835, 33.294127]"
plant_5,customer_33,616.41,"[-89.146373, 35.576094]"
plant_5,customer_42,93.72,"[-98.985873, 34.036948]"
plant_5,customer_44,671.79,"[-88.339312, 34.56966]"
plant_5,customer_45,904.9,"[-85.3432, 34.674826]"
plant_5,customer_49,799.36,"[-86.15226, 34.385553]"
plant_5,customer_51,1223.49,"[-79.380349, 40.028771]"
plant_5,customer_52,1186.79,"[-79.875215, 40.158978]"
plant_5,customer_55,960.57,"[-83.641023, 35.814402]"
plant_5,customer_61,392.04,"[-93.824881, 34.072716]"
plant_5,customer_65,326.5,"[-102.589507, 33.911307]"
plant_5,customer_67,258.07,"[-100.85088, 32.629017]"
plant_5,customer_68,778.06,"[-88.004147, 33.014059]"
plant_5,customer_71,403.18,"[-93.38638, 34.016592]"
plant_5,customer_74,596.37,"[-89.813252, 36.701256]"
plant_5,customer_78,191.55,"[-101.13903, 34.352121]"
plant_5,customer_80,377.71,"[-94.282043, 34.307716]"
plant_5,customer_82,542.95,"[-91.48747, 32.820359]"
plant_5,customer_86,912.5,"[-84.966037, 34.754311]"
plant_5,customer_87,736.7,"[-87.481247, 34.346046]"
plant_5,customer_88,227.99,"[-96.375459, 33.061658]"
plant_5,customer_90,731.91,"[-87.599853, 36.929183]"
plant_5,customer_92,737.1,"[-88.057566, 36.699237]"
plant_5,customer_97,375.97,"[-94.150853, 34.162888]"
plant_5,customer_100,740.21,"[-88.143854, 32.701764]"
plant_5,customer_101,856.95,"[-85.26517, 34.427289]"
plant_5,customer_103,960.32,"[-83.637411, 36.183039]"
plant_5,customer_106,1140.18,"[-88.965577, 45.709573]"
plant_5,customer_107,1089.98,"[-81.644252, 36.618928]"
plant_5,customer_108,1055.63,"[-82.728105, 37.998574]"
plant_5,customer_111,465.51,"[-92.679021, 34.281537]"
plant_5,customer_117,652.03,"[-89.209225, 36.494944]"
plant_5,customer_124,441.16,"[-93.073687, 32.774364]"
plant_5,customer_127,1215.62,"[-80.419321, 37.7234]"
plant_5,customer_128,1136.93,"[-81.066481, 37.150221]"
plant_5,customer_135,1127.94,"[-83.2732, 42.551081]"
plant_5,customer_139,462.24,"[-93.023093, 32.203119]"
plant_5,customer_142,1059.69,"[-82.429427, 35.618511]"
plant_5,customer_144,619.12,"[-89.755509, 33.914063]"
plant_5,customer_146,390.74,"[-93.274745, 33.41125]"
plant_5,customer_147,508.08,"[-92.446974, 32.058432]"
plant_5,customer_148,383.93,"[-102.498932, 32.405262]"
plant_5,customer_149,409.49,"[-93.264086, 33.107796]"
plant_5,customer_150,489.22,"[-90.988379, 35.527373]"
plant_5,customer_151,611.56,"[-89.747728, 36.481716]"
plant_5,customer_154,265.76,"[-100.989135, 32.789566]"
plant_5,customer_159,296.56,"[-93.967264, 35.63687]"
plant_5,customer_161,384.07,"[-94.192765, 34.322428]"
plant_5,customer_162,695.83,"[-88.894124, 33.520435]"
plant_5,customer_164,860.06,"[-85.719681, 33.88894]"
plant_5,customer_166,1394.94,"[-77.623197, 39.343855]"
plant_5,customer_169,737.47,"[-87.025061, 34.36266]"
plant_5,customer_172,733.77,"[-87.28252, 35.039849]"
plant_5,customer_173,351.73,"[-102.731391, 33.068569]"
plant_5,customer_176,1087.28,"[-82.222238, 37.85643]"
plant_5,customer_177,114.58,"[-98.333462, 33.334719]"
plant_5,customer_178,818.74,"[-86.492109, 36.919549]"
plant_5,customer_179,856.18,"[-86.2689, 32.778382]"
plant_5,customer_180,643.12,"[-88.955489, 36.180572]"
plant_5,customer_183,259.98,"[-101.556273, 33.621196]"
plant_5,customer_185,366.25,"[-94.201025, 32.425089]"
plant_5,customer_191,221.92,"[-97.050624, 32.339706]"
plant_5,customer_193,764.19,"[-87.850058, 32.914681]"
plant_5,customer_194,678.78,"[-88.478646, 36.248479]"
plant_5,customer_195,1216.12,"[-79.467811, 40.371319]"
plant_5,customer_196,656.76,"[-88.931807, 36.035077]"
plant_5,customer_202,72.28,"[-99.164474, 34.392414]"
plant_5,customer_206,282.03,"[-95.552292, 32.872611]"
plant_5,customer_207,540.23,"[-91.562084, 32.825533]"
plant_5,customer_211,355.7,"[-101.658174, 32.624494]"
plant_5,customer_216,1171.83,"[-80.622259, 40.646771]"
plant_5,customer_217,205.99,"[-99.905346, 32.622764]"
plant_5,customer_218,615.34,"[-90.235788, 33.466932]"
plant_5,customer_220,378.39,"[-103.506459, 33.512406]"
plant_5,customer_221,691.69,"[-89.19509, 32.136275]"
plant_5,customer_223,633.65,"[-90.262907, 32.765704]"
plant_5,customer_227,610.37,"[-89.766549, 34.070688]"
plant_5,customer_231,1347.87,"[-78.252587, 39.035022]"
plant_5,customer_235,166.45,"[-97.523495, 32.917792]"
plant_5,customer_241,534.34,"[-91.797593, 32.182866]"
plant_5,customer_246,717.84,"[-88.609779, 33.324347]"
plant_5,customer_247,1196.05,"[-79.714641, 40.14654]"
plant_5,customer_248,348.42,"[-94.719732, 32.824375]"
plant_6,customer_1,127.35,"[-97.400281, 33.119504]"
plant_6,customer_2,377.48,"[-104.146281, 34.045009]"
plant_6,customer_4,853.98,"[-86.024723, 33.64755]"
plant_6,customer_5,394.89,"[-104.642711, 32.647087]"
plant_6,customer_10,1170.86,"[-81.36037, 36.622746]"
plant_6,customer_14,76.62,"[-98.399894, 33.51573]"
plant_6,customer_15,1447.88,"[-77.695401, 38.979039]"
plant_6,customer_21,369.45,"[-94.272464, 33.879494]"
plant_6,customer_24,1226.08,"[-85.393407, 43.555699]"
plant_6,customer_26,716.87,"[-88.470236, 35.887553]"
plant_6,customer_27,920.14,"[-85.306892, 34.05084]"
plant_6,customer_28,992.79,"[-84.385289, 36.603522]"
plant_6,customer_31,529.94,"[-91.070835, 33.294127]"
plant_6,customer_33,676.07,"[-89.146373, 35.576094]"
plant_6,customer_42,93.65,"[-98.985873, 34.036948]"
plant_6,customer_44,731.45,"[-88.339312, 34.56966]"
plant_6,customer_45,945.83,"[-85.3432, 34.674826]"
plant_6,customer_49,893.89,"[-86.15226, 34.385553]"
plant_6,customer_51,1365.53,"[-79.380349, 40.028771]"
plant_6,customer_52,1328.82,"[-79.875215, 40.158978]"
plant_6,customer_55,1020.23,"[-83.641023, 35.814402]"
plant_6,customer_61,388.83,"[-93.824881, 34.072716]"
plant_6,customer_65,245.72,"[-102.589507, 33.911307]"
plant_6,customer_67,127.11,"[-100.85088, 32.629017]"
plant_6,customer_68,738.7,"[-88.004147, 33.014059]"
plant_6,customer_71,396.83,"[-93.38638, 34.016592]"
plant_6,customer_74,712.02,"[-89.813252, 36.701256]"
plant_6,customer_78,203.07,"[-101.13903, 34.352121]"
plant_6,customer_80,362.93,"[-94.282043, 34.307716]"
plant_6,customer_82,503.6,"[-91.48747, 32.820359]"
plant_6,customer_86,972.17,"[-84.966037, 34.754311]"
plant_6,customer_87,796.36,"[-87.481247, 34.346046]"
plant_6,customer_88,195.13,"[-96.375459, 33.061658]"
plant_6,customer_90,821.84,"[-87.599853, 36.929183]"
plant_6,customer_92,796.76,"[-88.057566, 36.699237]"
plant_6,customer_97,361.18,"[-94.150853, 34.162888]"
plant_6,customer_100,700.85,"[-88.143854, 32.701764]"
plant_6,customer_101,925.74,"[-85.26517, 34.427289]"
plant_6,customer_103,1019.98,"[-83.637411, 36.183039]"
plant_6,customer_106,1282.21,"[-88.965577, 45.709573]"
plant_6,customer_107,1149.64,"[-81.644252, 36.618928]"
plant_6,customer_108,1161.66,"[-82.728105, 37.998574]"
plant_6,customer_111,441.95,"[-92.679021, 34.281537]"
plant_6,customer_117,738.55,"[-89.209225, 36.494944]"
plant_6,customer_124,401.8,"[-93.073687, 32.774364]"
plant_6,customer_127,1266.97,"[-80.419321, 37.7234]"
plant_6,customer_128,1196.59,"[-81.066481, 37.150221]"
plant_6,customer_135,1269.98,"[-83.2732, 42.551081]"
plant_6,customer_139,422.89,"[-93.023093, 32.203119]"
plant_6,customer_142,1119.35,"[-82.429427, 35.618511]"
plant_6,customer_144,689.08,"[-89.755509, 33.914063]"
plant_6,customer_146,384.4,"[-93.274745, 33.41125]"
plant_6,customer_147,468.72,"[-92.446974, 32.058432]"
plant_6,customer_148,243.91,"[-102.498932, 32.405262]"
plant_6,customer_149,403.14,"[-93.264086, 33.107796]"
plant_6,customer_150,572.38,"[-90.988379, 35.527373]"
plant_6,customer_151,701.55,"[-89.747728, 36.481716]"
plant_6,customer_154,134.8,"[-100.989135, 32.789566]"
plant_6,customer_159,438.59,"[-93.967264, 35.63687]"
plant_6,customer_161,369.28,"[-94.192765, 34.322428]"
plant_6,customer_162,703.53,"[-88.894124, 33.520435]"
plant_6,customer_164,883.54,"[-85.719681, 33.88894]"
plant_6,customer_166,1454.6,"[-77.623197, 39.343855]"
plant_6,customer_169,797.13,"[-87.025061, 34.36266]"
plant_6,customer_172,793.43,"[-87.28252, 35.039849]"
plant_6,customer_173,270.95,"[-102.731391, 33.068569]"
plant_6,customer_176,1174.08,"[-82.222238, 37.85643]"
plant_6,customer_177,69.52,"[-98.333462, 33.334719]"
plant_6,customer_178,878.4,"[-86.492109, 36.919549]"
plant_6,customer_179,850.19,"[-86.2689, 32.778382]"
plant_6,customer_180,729.65,"[-88.955489, 36.180572]"
plant_6,customer_183,179.2,"[-101.556273, 33.621196]"
plant_6,customer_185,326.89,"[-94.201025, 32.425089]"
plant_6,customer_191,169.87,"[-97.050624, 32.339706]"
plant_6,customer_193,724.84,"[-87.850058, 32.914681]"
plant_6,customer_194,738.44,"[-88.478646, 36.248479]"
plant_6,customer_195,1358.15,"[-79.467811, 40.371319]"
plant_6,customer_196,716.42,"[-88.931807, 36.035077]"
plant_6,customer_202,115.8,"[-99.164474, 34.392414]"
plant_6,customer_206,249.17,"[-95.552292, 32.872611]"
plant_6,customer_207,500.87,"[-91.562084, 32.825533]"
plant_6,customer_211,208.53,"[-101.658174, 32.624494]"
plant_6,customer_216,1313.86,"[-80.622259, 40.646771]"
plant_6,customer_217,75.03,"[-99.905346, 32.622764]"
plant_6,customer_218,585.3,"[-90.235788, 33.466932]"
plant_6,customer_220,297.61,"[-103.506459, 33.512406]"
plant_6,customer_221,652.33,"[-89.19509, 32.136275]"
plant_6,customer_223,594.3,"[-90.262907, 32.765704]"
plant_6,customer_227,670.03,"[-89.766549, 34.070688]"
plant_6,customer_231,1407.53,"[-78.252587, 39.035022]"
plant_6,customer_235,119.63,"[-97.523495, 32.917792]"
plant_6,customer_241,494.99,"[-91.797593, 32.182866]"
plant_6,customer_246,712.93,"[-88.609779, 33.324347]"
plant_6,customer_247,1338.08,"[-79.714641, 40.14654]"
plant_6,customer_248,309.06,"[-94.719732, 32.824375]"
plant_7,customer_1,533.69,"[-97.400281, 33.119504]"
plant_7,customer_2,943.33,"[-104.146281, 34.045009]"
plant_7,customer_4,288.3,"[-86.024723, 33.64755]"
plant_7,customer_5,994.97,"[-104.642711, 32.647087]"
plant_7,customer_10,537.99,"[-81.36037, 36.622746]"
plant_7,customer_14,591.57,"[-98.399894, 33.51573]"
plant_7,customer_15,815.01,"[-77.695401, 38.979039]"
plant_7,customer_21,345.57,"[-94.272464, 33.879494]"
plant_7,customer_24,728.98,"[-85.393407, 43.555699]"
plant_7,customer_26,84.0,"[-88.470236, 35.887553]"
plant_7,customer_27,350.7,"[-85.306892, 34.05084]"
plant_7,customer_28,359.92,"[-84.385289, 36.603522]"
plant_7,customer_31,198.29,"[-91.070835, 33.294127]"
plant_7,customer_33,43.2,"[-89.146373, 35.576094]"
plant_7,customer_42,608.91,"[-98.985873, 34.036948]"
plant_7,customer_44,122.01,"[-88.339312, 34.56966]"
plant_7,customer_45,331.69,"[-85.3432, 34.674826]"
plant_7,customer_49,249.58,"[-86.15226, 34.385553]"
plant_7,customer_51,772.67,"[-79.380349, 40.028771]"
plant_7,customer_52,750.35,"[-79.875215, 40.158978]"
plant_7,customer_55,387.36,"[-83.641023, 35.814402]"
plant_7,customer_61,285.83,"[-93.824881, 34.072716]"
plant_7,customer_65,884.26,"[-102.589507, 33.911307]"
plant_7,customer_67,741.32,"[-100.85088, 32.629017]"
plant_7,customer_68,224.53,"[-88.004147, 33.014059]"
plant_7,customer_71,260.74,"[-93.38638, 34.016592]"
plant_7,customer_74,140.1,"[-89.813252, 36.701256]"
plant_7,customer_78,772.71,"[-101.13903, 34.352121]"
plant_7,customer_80,305.65,"[-94.282043, 34.307716]"
plant_7,customer_82,244.19,"[-91.48747, 32.820359]"
plant_7,customer_86,339.3,"[-84.966037, 34.754311]"
plant_7,customer_87,181.52,"[-87.481247, 34.346046]"
plant_7,customer_88,457.13,"[-96.375459, 33.061658]"
plant_7,customer_90,188.97,"[-87.599853, 36.929183]"
plant_7,customer_92,163.89,"[-88.057566, 36.699237]"
plant_7,customer_97,302.97,"[-94.150853, 34.162888]"
plant_7,customer_100,239.41,"[-88.143854, 32.701764]"
plant_7,customer_101,307.17,"[-85.26517, 34.427289]"
plant_7,customer_103,387.11,"[-83.637411, 36.183039]"
plant_7,customer_106,871.83,"[-88.965577, 45.709573]"
plant_7,customer_107,516.77,"[-81.644252, 36.618928]"
plant_7,customer_108,528.79,"[-82.728105, 37.998574]"
plant_7,customer_111,219.02,"[-92.679021, 34.281537]"
plant_7,customer_117,111.33,"[-89.209225, 36.494944]"
plant_7,customer_124,330.37,"[-93.073687, 32.774364]"
plant_7,customer_127,634.1,"[-80.419321, 37.7234]"
plant_7,customer_128,563.73,"[-81.066481, 37.150221]"
plant_7,customer_135,736.58,"[-83.2732, 42.551081]"
plant_7,customer_139,380.95,"[-93.023093, 32.203119]"
plant_7,customer_142,486.48,"[-82.429427, 35.618511]"
plant_7,customer_144,127.56,"[-89.755509, 33.914063]"
plant_7,customer_146,297.72,"[-93.274745, 33.41125]"
plant_7,customer_147,359.94,"[-92.446974, 32.058432]"
plant_7,customer_148,843.99,"[-102.498932, 32.405262]"
plant_7,customer_149,324.26,"[-93.264086, 33.107796]"
plant_7,customer_150,107.51,"[-90.988379, 35.527373]"
plant_7,customer_151,114.8,"[-89.747728, 36.481716]"
plant_7,customer_154,756.54,"[-100.989135, 32.789566]"
plant_7,customer_159,307.74,"[-93.967264, 35.63687]"
plant_7,customer_161,298.17,"[-94.192765, 34.322428]"
plant_7,customer_162,177.6,"[-88.894124, 33.520435]"
plant_7,customer_164,317.86,"[-85.719681, 33.88894]"
plant_7,customer_166,821.73,"[-77.623197, 39.343855]"
plant_7,customer_169,187.69,"[-87.025061, 34.36266]"
